Click here to return to Index,,,,,,,,,
,,,,,,,,,
Asthma Prevalence: Lifetime and current asthma prevalence (and associated 95% confidence intervals) for California and each county  ,,,,,,,,,
,,,,,,,,,
County,Year,Asthma measure,Comparison,Group,County prevalence,County 95% confidence interval,California prevalence,California 95% confidence interval,Comment
Sacramento,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
San Benito,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
San Bernardino,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
San Diego,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,5.20%,(3.5 6.9),4.60%,(3.3 5.9),
San Francisco,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
San Joaquin,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
San Luis Obispo,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
San Mateo,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Santa Barbara,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Santa Clara,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Santa Cruz,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Shasta,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Sierra,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Siskiyou,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Solano,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Sonoma,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Stanislaus,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Sutter,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Tehama,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Trinity,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Tulare,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Tuolumne,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Ventura,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Yolo,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Yuba,2019 2020,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.60%,(3.3 5.9),County prevalence not available due to small number of survey responses.
Alameda,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,20.50%,(14.5 26.5),14.50%,(13.3 15.7),
Alpine,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,24.70%,(10.6 38.9),14.50%,(13.3 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Amador,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,24.70%,(10.6 38.9),14.50%,(13.3 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Butte,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,37.60%,(17.7 57.6),14.50%,(13.3 15.7),
Calaveras,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,24.70%,(10.6 38.9),14.50%,(13.3 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Colusa,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,19.20%,(7.0 31.5),14.50%,(13.3 15.7),"Colusa, Glenn, and Tehama counties combined for analysis."
Contra Costa,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,11.80%,(4.8 18.9),14.50%,(13.3 15.7),
Del Norte,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
El Dorado,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,15.40%,(0.9 29.9),14.50%,(13.3 15.7),
Fresno,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,13.40%,(6.5 20.2),14.50%,(13.3 15.7),
Glenn,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,19.20%,(7.0 31.5),14.50%,(13.3 15.7),"Colusa, Glenn, and Tehama counties combined for analysis."
Humboldt,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,24.50%,(10.4 38.5),14.50%,(13.3 15.7),
Imperial,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,12.10%,(2.2 22.0),14.50%,(13.3 15.7),
Inyo,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,24.70%,(10.6 38.9),14.50%,(13.3 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Kern,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,9.00%,(3.6 14.3),14.50%,(13.3 15.7),
Kings,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,37.60%,(20.6 54.5),14.50%,(13.3 15.7),
Lake,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,21.50%,(5.5 37.4),14.50%,(13.3 15.7),
Lassen,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Los Angeles,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,14.70%,(11.7 17.7),14.50%,(13.3 15.7),
Madera,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,17.30%,(1.9 32.8),14.50%,(13.3 15.7),
Marin,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,27.80%,(16.8 38.9),14.50%,(13.3 15.7),
Mariposa,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,24.70%,(10.6 38.9),14.50%,(13.3 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Mendocino,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),County prevalence not available due to small number of survey responses.
Merced,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,13.40%,(1.2 25.5),14.50%,(13.3 15.7),
Modoc,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Mono,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,24.70%,(10.6 38.9),14.50%,(13.3 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Monterey,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,16.30%,(10.7 22.0),14.50%,(13.3 15.7),
Napa,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),County prevalence not available due to small number of survey responses.
Nevada,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),County prevalence not available due to small number of survey responses.
Orange,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,17.30%,(12.9 21.7),14.50%,(13.3 15.7),
Placer,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,11.60%,(2.4 20.8),14.50%,(13.3 15.7),
Plumas,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Riverside,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,13.40%,(7.5 19.3),14.50%,(13.3 15.7),
Sacramento,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,10.90%,(4.8 17.1),14.50%,(13.3 15.7),
San Benito,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),County prevalence not available due to small number of survey responses.
San Bernardino,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,12.60%,(6.2 19.1),14.50%,(13.3 15.7),
San Diego,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,12.00%,(8.5 15.5),14.50%,(13.3 15.7),
San Francisco,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,16.50%,(9.8 23.1),14.50%,(13.3 15.7),
San Joaquin,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,22.50%,(9.8 35.2),14.50%,(13.3 15.7),
San Luis Obispo,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,3.20%,(0.3 6.2),14.50%,(13.3 15.7),
San Mateo,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,18.40%,(8.2 28.6),14.50%,(13.3 15.7),
Santa Barbara,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,6.60%,(1.4 11.9),14.50%,(13.3 15.7),
Santa Clara,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,11.30%,(5.2 17.4),14.50%,(13.3 15.7),
Santa Cruz,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,11.50%,(1.7 21.3),14.50%,(13.3 15.7),
Shasta,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),County prevalence not available due to small number of survey responses.
Sierra,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Siskiyou,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Solano,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,10.80%,(3.1 18.6),14.50%,(13.3 15.7),
Sonoma,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,6.70%,(0.2 13.2),14.50%,(13.3 15.7),
Stanislaus,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,19.10%,(8.2 30.1),14.50%,(13.3 15.7),
Sutter,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,17.30%,(2.1 32.5),14.50%,(13.3 15.7),
Tehama,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,19.20%,(7.0 31.5),14.50%,(13.3 15.7),"Colusa, Glenn, and Tehama counties combined for analysis."
Trinity,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Tulare,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,14.50%,(13.3 15.7),County prevalence not available due to small number of survey responses.
Tuolumne,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,24.70%,(10.6 38.9),14.50%,(13.3 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Ventura,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,16.10%,(5.4 26.7),14.50%,(13.3 15.7),
Yolo,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,14.00%,(1.7 26.3),14.50%,(13.3 15.7),
Yuba,2019 2020,Lifetime asthma prevalence,Age group,5 17 years,14.20%,(4.5 23.9),14.50%,(13.3 15.7),
Alameda,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,14.30%,(11.3 17.3),16.60%,(16.0 17.2),
Alpine,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,29.20%,(20.8 37.7),16.60%,(16.0 17.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Amador,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,29.20%,(20.8 37.7),16.60%,(16.0 17.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Butte,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,18.60%,(12.4 24.9),16.60%,(16.0 17.2),
Calaveras,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,29.20%,(20.8 37.7),16.60%,(16.0 17.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Colusa,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,21.80%,(12.4 31.2),16.60%,(16.0 17.2),"Colusa, Glenn, and Tehama counties combined for analysis."
Contra Costa,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,20.30%,(15.4 25.2),16.60%,(16.0 17.2),
Del Norte,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.30%,(12.3 22.4),16.60%,(16.0 17.2),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
El Dorado,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,19.60%,(12.8 26.4),16.60%,(16.0 17.2),
Fresno,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,23.70%,(18.7 28.6),16.60%,(16.0 17.2),
Glenn,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,21.80%,(12.4 31.2),16.60%,(16.0 17.2),"Colusa, Glenn, and Tehama counties combined for analysis."
Humboldt,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,16.80%,(12.3 21.4),16.60%,(16.0 17.2),
Imperial,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,18.30%,(13.2 23.4),16.60%,(16.0 17.2),
Inyo,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,29.20%,(20.8 37.7),16.60%,(16.0 17.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Kern,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,23.40%,(18.0 28.8),16.60%,(16.0 17.2),
Kings,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.20%,(11.7 22.6),16.60%,(16.0 17.2),
Lake,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,26.50%,(17.9 35.2),16.60%,(16.0 17.2),
Lassen,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.30%,(12.3 22.4),16.60%,(16.0 17.2),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Los Angeles,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,15.50%,(14.1 16.9),16.60%,(16.0 17.2),
Madera,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,21.30%,(14.0 28.6),16.60%,(16.0 17.2),
Marin,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,19.00%,(11.0 27.0),16.60%,(16.0 17.2),
Mariposa,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,29.20%,(20.8 37.7),16.60%,(16.0 17.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Mendocino,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.50%,(10.0 25.1),16.60%,(16.0 17.2),
Merced,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,23.90%,(15.9 31.9),16.60%,(16.0 17.2),
Modoc,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.30%,(12.3 22.4),16.60%,(16.0 17.2),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Mono,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,29.20%,(20.8 37.7),16.60%,(16.0 17.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Monterey,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,12.80%,(7.9 17.7),16.60%,(16.0 17.2),
Napa,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,16.70%,(9.4 24.0),16.60%,(16.0 17.2),
Nevada,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,15.80%,(9.7 21.9),16.60%,(16.0 17.2),
Orange,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,15.30%,(12.7 17.9),16.60%,(16.0 17.2),
Placer,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,24.80%,(18.5 31.0),16.60%,(16.0 17.2),
Plumas,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.30%,(12.3 22.4),16.60%,(16.0 17.2),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Riverside,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,12.80%,(10.5 15.2),16.60%,(16.0 17.2),
Sacramento,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,19.10%,(14.8 23.4),16.60%,(16.0 17.2),
San Benito,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,20.20%,(12.9 27.5),16.60%,(16.0 17.2),
San Bernardino,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,14.40%,(11.4 17.3),16.60%,(16.0 17.2),
San Diego,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,16.70%,(14.5 18.8),16.60%,(16.0 17.2),
San Francisco,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,16.50%,(12.7 20.3),16.60%,(16.0 17.2),
San Joaquin,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,15.10%,(10.6 19.6),16.60%,(16.0 17.2),
San Luis Obispo,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,22.90%,(9.9 35.9),16.60%,(16.0 17.2),
San Mateo,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,18.60%,(13.8 23.4),16.60%,(16.0 17.2),
Santa Barbara,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,11.10%,(6.2 16.0),16.60%,(16.0 17.2),
Santa Clara,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,15.40%,(12.8 18.0),16.60%,(16.0 17.2),
Santa Cruz,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,18.40%,(12.5 24.2),16.60%,(16.0 17.2),
Shasta,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,23.90%,(16.9 30.9),16.60%,(16.0 17.2),
Sierra,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.30%,(12.3 22.4),16.60%,(16.0 17.2),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Siskiyou,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.30%,(12.3 22.4),16.60%,(16.0 17.2),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Solano,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,26.30%,(15.9 36.6),16.60%,(16.0 17.2),
Sonoma,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,20.40%,(13.3 27.5),16.60%,(16.0 17.2),
Stanislaus,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.70%,(13.5 22.0),16.60%,(16.0 17.2),
Sutter,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,18.90%,(9.6 28.1),16.60%,(16.0 17.2),
Tehama,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,21.80%,(12.4 31.2),16.60%,(16.0 17.2),"Colusa, Glenn, and Tehama counties combined for analysis."
Trinity,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,17.30%,(12.3 22.4),16.60%,(16.0 17.2),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Tulare,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,11.40%,(7.0 15.7),16.60%,(16.0 17.2),
Tuolumne,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,29.20%,(20.8 37.7),16.60%,(16.0 17.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Ventura,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,12.00%,(8.7 15.3),16.60%,(16.0 17.2),
Yolo,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,30.20%,(20.0 40.4),16.60%,(16.0 17.2),
Yuba,2019 2020,Lifetime asthma prevalence,Age group,18 64 years,16.00%,(10.5 21.5),16.60%,(16.0 17.2),
Alameda,2019 2020,Lifetime asthma prevalence,Age group,65+ years,15.90%,(11.1 20.6),14.60%,(13.6 15.5),
Alpine,2019 2020,Lifetime asthma prevalence,Age group,65+ years,22.40%,(16.2 28.6),14.60%,(13.6 15.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Amador,2019 2020,Lifetime asthma prevalence,Age group,65+ years,22.40%,(16.2 28.6),14.60%,(13.6 15.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Butte,2019 2020,Lifetime asthma prevalence,Age group,65+ years,12.40%,(7.3 17.5),14.60%,(13.6 15.5),
Calaveras,2019 2020,Lifetime asthma prevalence,Age group,65+ years,22.40%,(16.2 28.6),14.60%,(13.6 15.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Colusa,2019 2020,Lifetime asthma prevalence,Age group,65+ years,15.60%,(9.8 21.3),14.60%,(13.6 15.5),"Colusa, Glenn, and Tehama counties combined for analysis."
Contra Costa,2019 2020,Lifetime asthma prevalence,Age group,65+ years,18.70%,(13.5 24.0),14.60%,(13.6 15.5),
Del Norte,2019 2020,Lifetime asthma prevalence,Age group,65+ years,12.30%,(7.9 16.8),14.60%,(13.6 15.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
El Dorado,2019 2020,Lifetime asthma prevalence,Age group,65+ years,15.10%,(9.8 20.4),14.60%,(13.6 15.5),
Fresno,2019 2020,Lifetime asthma prevalence,Age group,65+ years,19.30%,(11.2 27.5),14.60%,(13.6 15.5),
Glenn,2019 2020,Lifetime asthma prevalence,Age group,65+ years,15.60%,(9.8 21.3),14.60%,(13.6 15.5),"Colusa, Glenn, and Tehama counties combined for analysis."
Humboldt,2019 2020,Lifetime asthma prevalence,Age group,65+ years,13.70%,(8.6 18.8),14.60%,(13.6 15.5),
Imperial,2019 2020,Lifetime asthma prevalence,Age group,65+ years,17.30%,(4.5 30.0),14.60%,(13.6 15.5),
Inyo,2019 2020,Lifetime asthma prevalence,Age group,65+ years,22.40%,(16.2 28.6),14.60%,(13.6 15.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Kern,2019 2020,Lifetime asthma prevalence,Age group,65+ years,14.90%,(6.6 23.2),14.60%,(13.6 15.5),
Kings,2019 2020,Lifetime asthma prevalence,Age group,65+ years,25.80%,(6.9 44.7),14.60%,(13.6 15.5),
Lake,2019 2020,Lifetime asthma prevalence,Age group,65+ years,10.10%,(6.7 13.5),14.60%,(13.6 15.5),
Lassen,2019 2020,Lifetime asthma prevalence,Age group,65+ years,12.30%,(7.9 16.8),14.60%,(13.6 15.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Los Angeles,2019 2020,Lifetime asthma prevalence,Age group,65+ years,14.10%,(11.9 16.3),14.60%,(13.6 15.5),
Madera,2019 2020,Lifetime asthma prevalence,Age group,65+ years,24.40%,(15.8 33.1),14.60%,(13.6 15.5),
Marin,2019 2020,Lifetime asthma prevalence,Age group,65+ years,17.90%,(12.3 23.5),14.60%,(13.6 15.5),
Mariposa,2019 2020,Lifetime asthma prevalence,Age group,65+ years,22.40%,(16.2 28.6),14.60%,(13.6 15.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Mendocino,2019 2020,Lifetime asthma prevalence,Age group,65+ years,10.30%,(6.4 14.1),14.60%,(13.6 15.5),
Merced,2019 2020,Lifetime asthma prevalence,Age group,65+ years,12.00%,(7.8 16.1),14.60%,(13.6 15.5),
Modoc,2019 2020,Lifetime asthma prevalence,Age group,65+ years,12.30%,(7.9 16.8),14.60%,(13.6 15.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Mono,2019 2020,Lifetime asthma prevalence,Age group,65+ years,22.40%,(16.2 28.6),14.60%,(13.6 15.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Monterey,2019 2020,Lifetime asthma prevalence,Age group,65+ years,22.60%,(12.9 32.3),14.60%,(13.6 15.5),
Napa,2019 2020,Lifetime asthma prevalence,Age group,65+ years,29.50%,(13.8 45.2),14.60%,(13.6 15.5),
Nevada,2019 2020,Lifetime asthma prevalence,Age group,65+ years,16.60%,(11.5 21.7),14.60%,(13.6 15.5),
Orange,2019 2020,Lifetime asthma prevalence,Age group,65+ years,10.50%,(8.2 12.9),14.60%,(13.6 15.5),
Placer,2019 2020,Lifetime asthma prevalence,Age group,65+ years,9.10%,(5.7 12.5),14.60%,(13.6 15.5),
Plumas,2019 2020,Lifetime asthma prevalence,Age group,65+ years,12.30%,(7.9 16.8),14.60%,(13.6 15.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Riverside,2019 2020,Lifetime asthma prevalence,Age group,65+ years,11.10%,(8.7 13.5),14.60%,(13.6 15.5),
Sacramento,2019 2020,Lifetime asthma prevalence,Age group,65+ years,16.30%,(12.1 20.5),14.60%,(13.6 15.5),
San Benito,2019 2020,Lifetime asthma prevalence,Age group,65+ years,13.10%,(7.7 18.6),14.60%,(13.6 15.5),
San Bernardino,2019 2020,Lifetime asthma prevalence,Age group,65+ years,14.30%,(10.0 18.6),14.60%,(13.6 15.5),
